<DATE>,<CLOSE>
2010-06-07,0.52
2010-06-08,0.54
2010-06-09,0.54
2010-06-10,0.55
2010-06-11,0.5
2010-06-14,0.53
2010-06-15,0.58
2010-06-16,0.56
2010-06-17,0.64
2010-06-18,0.54
2010-06-21,0.63
2010-06-22,0.55
2010-06-23,0.5
2010-06-24,0.46
2010-06-25,0.47
2010-06-28,0.48
2010-06-29,0.42
2010-06-30,0.44
2010-07-01,0.42
2010-07-02,0.39
2010-07-05,0.42
2010-07-06,0.42
2010-07-07,0.39
2010-07-08,0.41
2010-07-09,0.39
2010-07-12,0.41
2010-07-14,0.39
2010-07-15,0.41
2010-07-16,0.46
2010-07-19,0.5
2010-07-20,0.54
2010-07-21,0.53
2010-07-22,0.54
2010-07-23,0.5
2010-07-26,0.48
2010-07-28,0.5
2010-08-02,0.5
2010-08-03,0.51
2010-08-04,0.53
2010-08-05,0.53
2010-08-06,0.5
2010-08-09,0.5
2010-08-11,0.51
2010-08-12,0.49
2010-08-13,0.53
2010-08-16,0.53
2010-08-17,0.53
2010-08-18,0.5
2010-08-19,0.5
2010-08-20,0.5
2010-08-23,0.5
2010-08-24,0.51
2010-08-26,0.51
2010-08-27,0.51
2010-08-30,0.53
2010-08-31,0.53
2010-09-01,0.5
2010-09-02,0.5
2010-09-03,0.5
2010-09-06,0.51
2010-09-07,0.51
2010-09-08,0.53
2010-09-09,0.53
2010-09-10,0.53
2010-09-13,0.63
2010-09-14,0.63
2010-09-15,0.64
2010-09-16,0.7
2010-09-17,0.73
2010-09-20,0.79
2010-09-21,0.83
2010-09-22,0.84
2010-09-23,0.95
2010-09-24,1.1
2010-09-27,1.15
2010-09-28,1.09
2010-09-29,1.15
2010-09-30,1.15
2010-10-01,1.15
2010-10-04,1.15
2010-10-05,1.1
2010-10-06,1.1
2010-10-07,1.1
2010-10-08,1.1
2010-10-11,0.99
2010-10-12,1.04
2010-10-13,0.92
2010-10-14,0.9
2010-10-19,0.92
2010-10-20,0.94
2010-10-21,0.94
2010-10-22,0.94
2010-10-25,0.94
2010-10-26,0.94
2010-10-27,0.94
2010-10-28,0.8
2010-10-29,0.86
2010-11-02,0.82
2010-11-04,0.88
2010-11-05,0.89
2010-11-08,0.9
2010-11-09,0.91
2010-11-10,0.94
2010-11-12,0.95
2010-11-15,1.03
2010-11-16,1.04
2010-11-17,1.17
2010-11-18,1.09
2010-11-19,1.12
2010-11-22,1.07
2010-11-23,1.07
2010-11-24,1.02
2010-11-25,0.96
2010-11-26,1.01
2010-11-29,1.04
2010-11-30,1.03
2010-12-01,1.1
2010-12-02,1.06
2010-12-06,1
2010-12-07,0.97
2010-12-08,0.97
2010-12-10,1.02
2010-12-13,1
2010-12-14,0.99
2010-12-15,0.96
2010-12-16,0.91
2010-12-17,0.9
2010-12-20,0.91
2010-12-21,0.88
2010-12-22,0.78
2010-12-23,0.78
2010-12-27,0.77
2010-12-28,0.74
2010-12-29,0.8
2010-12-30,0.8
2010-12-31,0.82
2011-01-03,0.9
2011-01-04,0.89
2011-01-05,0.88
2011-01-07,0.88
2011-01-10,0.86
2011-01-11,0.84
2011-01-12,0.81
2011-01-13,0.78
2011-01-14,0.76
2011-01-18,0.78
2011-01-19,0.79
2011-01-20,0.79
2011-01-21,0.79
2011-01-24,0.75
2011-01-25,0.76
2011-01-26,0.76
2011-01-27,0.82
2011-01-28,0.82
2011-01-31,0.86
2011-02-01,0.87
2011-02-02,0.84
2011-02-03,0.91
2011-02-04,0.95
2011-02-07,0.95
2011-02-08,0.95
2011-02-09,0.94
2011-02-10,0.88
2011-02-11,0.88
2011-02-14,0.94
2011-02-15,0.84
2011-02-16,0.8
2011-02-17,0.78
2011-02-18,0.79
2011-02-21,0.73
2011-02-22,0.71
2011-02-23,0.68
2011-02-24,0.71
2011-02-25,0.72
2011-02-28,0.72
2011-03-01,0.72
2011-03-02,0.72
2011-03-03,0.74
2011-03-04,0.7
2011-03-10,0.71
2011-03-14,0.72
2011-03-15,0.67
2011-03-16,0.66
2011-03-17,0.66
2011-03-22,0.68
2011-03-23,0.69
2011-03-24,0.69
2011-03-28,0.74
2011-03-29,0.74
2011-03-30,0.74
2011-03-31,0.68
2011-04-01,0.67
2011-04-04,0.69
2011-04-13,0.64
2011-04-19,0.62
2011-04-20,0.67
2011-04-21,0.71
2011-04-26,0.65
2011-04-27,0.59
2011-04-28,0.56
2011-04-29,0.66
2011-05-02,0.63
2011-05-04,0.67
2011-05-05,0.66
2011-05-06,0.67
2011-05-09,0.72
2011-05-10,0.74
2011-05-11,0.74
2011-05-12,0.6
2011-05-13,0.56
2011-05-16,0.53
2011-05-17,0.51
2011-05-18,0.5
2011-05-19,0.54
2011-05-23,0.53
2011-05-24,0.53
2011-05-25,0.49
2011-05-26,0.52
2011-05-27,0.59
2011-05-30,0.59
2011-05-31,0.55
2011-06-01,0.57
2011-06-02,0.57
2011-06-03,0.56
2011-06-06,0.53
