<DATE>,<CLOSE>
2008-06-03,5.7545
2008-06-04,4.9757
2008-06-05,4.1067
2008-06-06,4.3716
2008-06-09,4.2551
2008-06-10,4.2922
2008-06-11,4.096
2008-06-12,4.2444
2008-06-13,4.324
2008-06-16,4.2975
2008-06-17,4.3187
2008-06-18,4.324
2008-06-19,4.3346
2008-06-20,4.308
2008-06-23,4.451
2008-06-24,4.4724
2008-06-25,4.5147
2008-06-26,4.891
2008-06-27,4.8485
2008-06-30,4.769
2008-07-01,4.5571
2008-07-02,4.4086
2008-07-03,4.5147
2008-07-07,4.5147
2008-07-08,4.2975
2008-07-09,4.2975
2008-07-10,4.2975
2008-07-11,4.2975
2008-07-14,4.2975
2008-07-15,4.2127
2008-07-16,4.2127
2008-07-17,4.2127
2008-07-18,4.128
2008-07-21,4.1702
2008-07-22,4.2127
2008-07-23,4.2127
2008-07-24,4.2127
2008-07-25,4.2127
2008-07-28,4.2127
2008-07-29,4.2075
2008-07-30,4.0219
2008-07-31,4.0008
2008-08-01,4.149
2008-08-04,4.1861
2008-08-05,4.1861
2008-08-06,4.2127
2008-08-07,4.2444
2008-08-08,4.2551
2008-08-11,4.2551
2008-08-12,4.2656
2008-08-13,4.2709
2008-08-14,4.2762
2008-08-19,4.287
2008-08-21,4.2922
2008-08-22,4.2975
2008-08-25,4.324
2008-08-26,4.3557
2008-08-27,4.2127
2008-08-28,4.4299
2008-08-29,4.4193
2008-09-01,4.1702
2008-09-02,4.2975
2008-09-03,4.2975
2008-09-04,4.234
2008-09-05,4.2975
2008-09-09,4.2975
2008-09-19,4.308
2008-09-22,4.324
2008-09-24,4.3452
2008-10-14,4.5147
2008-10-15,4.5094
2008-10-16,4.5147
2008-10-17,4.5518
2008-10-20,4.2127
2008-10-21,4.3875
2008-10-23,4.3875
2008-10-24,4.3822
2008-10-27,4.3822
2008-10-28,4.3822
2008-10-29,4.3822
2008-10-30,4.3822
2008-10-31,4.3822
2008-11-03,4.3822
2008-11-04,4.3822
2008-11-05,4.3822
2008-11-06,4.3875
2008-11-07,4.3927
2008-11-10,4.3927
