<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1997-02-20,7.16,7.16,7.16,7.16
1997-02-21,7.88,7.88,7.88,7.88
1997-02-24,8.66,8.66,8.66,8.66
1997-02-25,9.55,9.55,9.55,9.55
1997-02-26,10.27,10.27,10.27,10.27
1997-02-27,9.25,9.25,9.25,9.25
1997-02-28,8.36,8.36,8.36,8.36
1997-03-03,7.64,7.64,7.64,7.64
1997-03-04,7.88,7.88,7.88,7.88
1997-03-05,7.88,7.88,7.88,7.88
1997-03-06,7.88,7.88,7.88,7.88
1997-03-07,8.18,8.18,8.18,8.18
1997-03-10,8.42,8.42,8.42,8.42
1997-03-11,9.25,9.25,9.25,9.25
1997-03-12,9.19,9.19,9.19,9.19
1997-03-13,8.48,8.48,8.48,8.48
1997-03-14,8,8,8,8
1997-03-17,7.88,7.88,7.88,7.88
1997-03-18,8.36,8.36,8.36,8.36
1997-03-19,7.76,7.76,7.76,7.76
1997-03-20,7.94,7.94,7.94,7.94
1997-03-21,7.88,7.88,7.88,7.88
1997-03-24,7.94,7.94,7.94,7.94
1997-03-25,8.18,8.18,8.18,8.18
1997-03-26,8.48,8.48,8.48,8.48
1997-03-27,8.83,8.83,8.83,8.83
1997-04-01,8.18,8.18,8.18,8.18
1997-04-02,7.76,7.76,7.76,7.76
1997-04-03,7.88,7.88,7.88,7.88
1997-04-04,7.88,7.88,7.88,7.88
1997-04-07,8.36,8.36,8.36,8.36
1997-04-08,7.88,7.88,7.88,7.88
1997-04-09,8.18,8.18,8.18,8.18
1997-04-10,8.12,8.12,8.12,8.12
1997-04-11,8.24,8.24,8.24,8.24
1997-04-14,8.12,8.12,8.12,8.12
1997-04-15,8.36,8.36,8.36,8.36
1997-04-16,8.6,8.6,8.6,8.6
1997-04-17,8.77,8.77,8.77,8.77
1997-04-18,8.6,8.6,8.6,8.6
1997-04-21,8.83,8.83,8.83,8.83
1997-04-22,8.77,8.77,8.77,8.77
1997-04-23,8.77,8.77,8.77,8.77
1997-04-24,8.83,8.83,8.83,8.83
1997-04-25,8.71,8.71,8.71,8.71
1997-04-28,8.6,8.6,8.6,8.6
1997-04-29,8.36,8.36,8.36,8.36
1997-04-30,8.83,8.83,8.83,8.83
1997-05-05,9.31,9.31,9.31,9.31
1997-05-06,9.31,9.31,9.31,9.31
1997-05-07,8.6,8.6,8.6,8.6
1997-05-08,8.6,8.6,8.6,8.6
1997-05-09,8.77,8.77,8.77,8.77
1997-05-12,8.71,8.71,8.71,8.71
1997-05-13,8.6,8.6,8.6,8.6
1997-05-14,8.48,8.48,8.48,8.48
1997-05-15,8.71,8.71,8.71,8.71
1997-05-16,8.95,8.95,8.95,8.95
1997-05-19,8.95,8.95,8.95,8.95
1997-05-20,8.6,8.6,8.6,8.6
1997-05-21,8.36,8.36,8.36,8.36
1997-05-22,8.71,8.71,8.71,8.71
1997-05-23,8.36,8.36,8.36,8.36
1997-05-26,8.36,8.36,8.36,8.36
1997-05-27,8.48,8.48,8.48,8.48
1997-05-28,8.48,8.48,8.48,8.48
1997-05-30,8.48,8.48,8.48,8.48
1997-06-02,7.82,7.82,7.82,7.82
1997-06-03,8.06,8.06,8.06,8.06
1997-06-04,7.88,7.88,7.88,7.88
1997-06-05,7.64,7.64,7.64,7.64
1997-06-06,7.7,7.7,7.7,7.7
1997-06-09,7.76,7.76,7.76,7.76
1997-06-10,7.64,7.64,7.64,7.64
1997-06-11,7.52,7.52,7.52,7.52
1997-06-12,7.88,7.88,7.88,7.88
1997-06-13,8.06,8.06,8.06,8.06
1997-06-16,7.88,7.88,7.88,7.88
1997-06-17,7.82,7.82,7.82,7.82
1997-06-18,8,8,8,8
1997-06-19,7.88,7.88,7.88,7.88
1997-06-20,8.12,8.12,8.12,8.12
1997-06-23,8.36,8.36,8.36,8.36
1997-06-24,8.12,8.12,8.12,8.12
1997-06-25,8.12,8.12,8.12,8.12
1997-06-26,7.52,7.52,7.52,7.52
1997-06-27,7.58,7.58,7.58,7.58
1997-06-30,7.64,7.64,7.64,7.64
1997-07-01,7.4,7.4,7.4,7.4
1997-07-02,6.92,6.92,6.92,6.92
1997-07-03,7.22,7.22,7.22,7.22
1997-07-04,7.7,7.7,7.7,7.7
1997-07-07,8,8,8,8
1997-07-08,8,8,8,8
1997-07-09,8.12,8.12,8.12,8.12
1997-07-10,8.3,8.3,8.3,8.3
1997-07-11,7.82,7.82,7.82,7.82
1997-07-14,7.04,7.04,7.04,7.04
1997-07-15,7.16,7.16,7.16,7.16
1997-07-16,7.4,7.4,7.4,7.4
1997-07-17,7.52,7.52,7.52,7.52
1997-07-18,7.16,7.16,7.16,7.16
1997-07-21,6.92,6.92,6.92,6.92
1997-07-22,7.1,7.1,7.1,7.1
1997-07-23,7.04,7.04,7.04,7.04
1997-07-24,6.8,6.8,6.8,6.8
1997-07-25,6.51,6.51,6.51,6.51
1997-07-28,6.09,6.09,6.09,6.09
1997-07-29,6.21,6.21,6.21,6.21
1997-07-30,6.45,6.45,6.45,6.45
1997-07-31,6.45,6.45,6.45,6.45
1997-08-01,6.09,6.09,6.09,6.09
1997-08-04,6.33,6.33,6.33,6.33
1997-08-05,6.27,6.27,6.27,6.27
1997-08-06,6.45,6.45,6.45,6.45
1997-08-07,6.39,6.39,6.39,6.39
1997-08-08,6.86,6.86,6.86,6.86
1997-08-11,6.57,6.57,6.57,6.57
1997-08-12,6.75,6.75,6.75,6.75
1997-08-13,7.04,7.04,7.04,7.04
1997-08-14,6.57,6.57,6.57,6.57
1997-08-18,6.39,6.39,6.39,6.39
1997-08-19,6.45,6.45,6.45,6.45
1997-08-20,6.57,6.57,6.57,6.57
1997-08-21,6.39,6.39,6.39,6.39
1997-08-22,6.39,6.39,6.39,6.39
1997-08-25,6.33,6.33,6.33,6.33
1997-08-26,6.27,6.27,6.27,6.27
1997-08-27,6.33,6.33,6.33,6.33
1997-08-28,6.39,6.39,6.39,6.39
1997-08-29,6.45,6.45,6.45,6.45
1997-09-01,6.21,6.21,6.21,6.21
1997-09-02,6.21,6.21,6.21,6.21
1997-09-03,6.27,6.27,6.27,6.27
1997-09-04,6.27,6.27,6.27,6.27
1997-09-05,6.21,6.21,6.21,6.21
1997-09-08,6.33,6.33,6.33,6.33
1997-09-09,6.57,6.57,6.57,6.57
1997-09-10,6.8,6.8,6.8,6.8
1997-09-11,6.57,6.57,6.57,6.57
1997-09-12,6.57,6.57,6.57,6.57
1997-09-15,6.45,6.45,6.45,6.45
1997-09-16,6.57,6.57,6.57,6.57
1997-09-17,6.33,6.33,6.33,6.33
1997-09-18,6.33,6.33,6.33,6.33
1997-09-19,6.51,6.51,6.51,6.51
1997-09-22,6.51,6.51,6.51,6.51
1997-09-23,6.51,6.51,6.51,6.51
1997-09-24,6.33,6.33,6.33,6.33
1997-09-25,6.27,6.27,6.27,6.27
1997-09-26,6.21,6.21,6.21,6.21
1997-09-29,6.21,6.21,6.21,6.21
1997-09-30,6.27,6.27,6.27,6.27
1997-10-01,6.21,6.21,6.21,6.21
1997-10-02,6.15,6.15,6.15,6.15
1997-10-03,6.09,6.09,6.09,6.09
1997-10-06,6.09,6.09,6.09,6.09
1997-10-07,5.97,5.97,5.97,5.97
1997-10-08,5.85,5.85,5.85,5.85
1997-10-09,5.91,5.91,5.91,5.91
1997-10-10,5.91,5.91,5.91,5.91
1997-10-13,5.97,5.97,5.97,5.97
1997-10-14,6.27,6.27,6.27,6.27
1997-10-15,6.21,6.21,6.21,6.21
1997-10-16,6.15,6.15,6.15,6.15
1997-10-17,6.09,6.09,6.09,6.09
1997-10-20,6.15,6.15,6.15,6.15
1997-10-21,6.09,6.09,6.09,6.09
1997-10-22,5.97,5.97,5.97,5.97
1997-10-23,5.97,5.97,5.97,5.97
1997-10-24,5.85,5.85,5.85,5.85
1997-10-27,5.73,5.73,5.73,5.73
1997-10-28,5.19,5.19,5.19,5.19
1997-10-29,5.61,5.61,5.61,5.61
1997-10-30,5.37,5.37,5.37,5.37
1997-10-31,5.25,5.25,5.25,5.25
1997-11-03,5.37,5.37,5.37,5.37
1997-11-04,5.31,5.31,5.31,5.31
1997-11-05,5.37,5.37,5.37,5.37
1997-11-06,5.37,5.37,5.37,5.37
1997-11-07,5.31,5.31,5.31,5.31
1997-11-12,5.13,5.13,5.13,5.13
1997-11-13,4.83,4.83,4.83,4.83
1997-11-14,4.83,4.83,4.83,4.83
1997-11-17,5.01,5.01,5.01,5.01
1997-11-18,5.19,5.19,5.19,5.19
1997-11-19,5.01,5.01,5.01,5.01
1997-11-20,5.01,5.01,5.01,5.01
1997-11-21,5.01,5.01,5.01,5.01
1997-11-24,5.43,5.43,5.43,5.43
1997-11-25,5.31,5.31,5.31,5.31
1997-11-26,5.73,5.73,5.73,5.73
1997-11-27,5.97,5.97,5.97,5.97
1997-11-28,6.15,6.15,6.15,6.15
1997-12-01,6.21,6.21,6.21,6.21
1997-12-02,6.33,6.33,6.33,6.33
1997-12-03,6.21,6.21,6.21,6.21
1997-12-04,5.97,5.97,5.97,5.97
1997-12-05,6.15,6.15,6.15,6.15
1997-12-08,6.03,6.03,6.03,6.03
1997-12-09,5.97,5.97,5.97,5.97
1997-12-10,5.73,5.73,5.73,5.73
1997-12-11,5.19,5.19,5.19,5.19
1997-12-12,5.19,5.19,5.19,5.19
1997-12-15,5.37,5.37,5.37,5.37
1997-12-16,5.61,5.61,5.61,5.61
1997-12-17,5.49,5.49,5.49,5.49
1997-12-18,5.25,5.25,5.25,5.25
1997-12-19,5.13,5.13,5.13,5.13
1997-12-22,4.66,4.66,4.66,4.66
1997-12-23,4.78,4.78,4.78,4.78
1997-12-29,5.01,5.01,5.01,5.01
1997-12-30,5.25,5.25,5.25,5.25
1997-12-31,5.49,5.49,5.49,5.49
1998-01-05,5.61,5.61,5.61,5.61
1998-01-06,5.37,5.37,5.37,5.37
1998-01-07,5.19,5.19,5.19,5.19
1998-01-08,5.19,5.19,5.19,5.19
1998-01-09,5.07,5.07,5.07,5.07
1998-01-12,4.78,4.78,4.78,4.78
1998-01-13,5.01,5.01,5.01,5.01
1998-01-14,5.13,5.13,5.13,5.13
1998-01-15,4.78,4.78,4.78,4.78
1998-01-16,4.83,4.83,4.83,4.83
1998-01-19,5.07,5.07,5.07,5.07
1998-01-20,5.01,5.01,5.01,5.01
1998-01-21,4.89,4.89,4.89,4.89
1998-01-22,4.89,4.89,4.89,4.89
1998-01-23,4.89,4.89,4.89,4.89
1998-01-26,4.89,4.89,4.89,4.89
1998-01-27,4.89,4.89,4.89,4.89
1998-01-28,4.95,4.95,4.95,4.95
1998-01-29,5.25,5.25,5.25,5.25
1998-01-30,5.37,5.37,5.37,5.37
1998-02-02,5.37,5.37,5.37,5.37
1998-02-03,5.61,5.61,5.61,5.61
1998-02-04,5.43,5.43,5.43,5.43
1998-02-05,5.37,5.37,5.37,5.37
1998-02-06,5.61,5.61,5.61,5.61
1998-02-09,5.43,5.43,5.43,5.43
1998-02-10,5.43,5.43,5.43,5.43
1998-02-11,5.31,5.31,5.31,5.31
1998-02-12,5.25,5.25,5.25,5.25
1998-02-13,5.13,5.13,5.13,5.13
1998-02-16,5.13,5.13,5.13,5.13
1998-02-17,5.07,5.07,5.07,5.07
1998-02-18,5.13,5.13,5.13,5.13
1998-02-19,5.19,5.19,5.19,5.19
1998-02-20,4.78,4.78,4.78,4.78
1998-02-23,5.01,5.01,5.01,5.01
1998-02-24,5.19,5.19,5.19,5.19
1998-02-25,5.13,5.13,5.13,5.13
1998-02-26,5.25,5.25,5.25,5.25
1998-02-27,5.13,5.13,5.13,5.13
1998-03-02,5.31,5.31,5.31,5.31
1998-03-03,5.25,5.25,5.25,5.25
1998-03-04,5.13,5.13,5.13,5.13
1998-03-05,5.25,5.25,5.25,5.25
1998-03-06,5.19,5.19,5.19,5.19
1998-03-09,5.25,5.25,5.25,5.25
1998-03-10,5.01,5.01,5.01,5.01
1998-03-11,5.19,5.19,5.19,5.19
1998-03-12,5.01,5.01,5.01,5.01
1998-03-13,5.07,5.07,5.07,5.07
1998-03-16,5.07,5.07,5.07,5.07
1998-03-17,5.25,5.25,5.25,5.25
1998-03-18,5.25,5.25,5.25,5.25
1998-03-19,5.25,5.25,5.25,5.25
1998-03-20,5.25,5.25,5.25,5.25
1998-03-23,5.37,5.37,5.37,5.37
1998-03-24,5.61,5.61,5.61,5.61
1998-03-25,5.85,5.85,5.85,5.85
1998-03-26,5.85,5.85,5.85,5.85
1998-03-27,5.37,5.37,5.37,5.37
1998-03-30,4.95,4.95,4.95,4.95
1998-03-31,5.13,5.13,5.13,5.13
1998-04-01,5.01,5.01,5.01,5.01
1998-04-02,5.07,5.07,5.07,5.07
1998-04-06,5.37,5.37,5.37,5.37
1998-04-07,5.43,5.43,5.43,5.43
1998-04-08,5.13,5.13,5.13,5.13
1998-04-09,5.25,5.25,5.25,5.25
1998-04-14,5.25,5.25,5.25,5.25
1998-04-15,5.19,5.19,5.19,5.19
1998-04-16,5.25,5.25,5.25,5.25
1998-04-17,5.19,5.19,5.19,5.19
1998-04-20,5.01,5.01,5.01,5.01
1998-04-21,5.07,5.07,5.07,5.07
1998-04-22,5.13,5.13,5.13,5.13
1998-04-23,5.07,5.07,5.07,5.07
1998-04-24,5.07,5.07,5.07,5.07
1998-04-27,5.01,5.01,5.01,5.01
1998-04-28,4.95,4.95,4.95,4.95
1998-04-29,5.01,5.01,5.01,5.01
1998-04-30,5.01,5.01,5.01,5.01
1998-05-04,5.07,5.07,5.07,5.07
1998-05-05,5.01,5.01,5.01,5.01
1998-05-06,4.95,4.95,4.95,4.95
1998-05-07,4.95,4.95,4.95,4.95
1998-05-08,4.95,4.95,4.95,4.95
1998-05-11,4.95,4.95,4.95,4.95
1998-05-12,4.78,4.78,4.78,4.78
1998-05-13,4.78,4.78,4.78,4.78
1998-05-14,4.78,4.78,4.78,4.78
1998-05-15,4.72,4.72,4.72,4.72
1998-05-18,4.66,4.66,4.66,4.66
1998-05-19,4.3,4.3,4.3,4.3
1998-05-20,4.3,4.3,4.3,4.3
1998-05-21,4.42,4.42,4.42,4.42
1998-05-22,4.36,4.36,4.36,4.36
1998-05-25,4.3,4.3,4.3,4.3
1998-05-26,4.12,4.12,4.12,4.12
1998-05-27,3.88,3.88,3.88,3.88
1998-05-28,3.52,3.52,3.52,3.52
1998-05-29,3.64,3.64,3.64,3.64
1998-06-01,3.58,3.58,3.58,3.58
1998-06-02,3.28,3.28,3.28,3.28
1998-06-03,3.34,3.34,3.34,3.34
1998-06-04,3.58,3.58,3.58,3.58
1998-06-05,3.58,3.58,3.58,3.58
1998-06-08,3.58,3.58,3.58,3.58
1998-06-09,3.4,3.4,3.4,3.4
1998-06-10,3.34,3.34,3.34,3.34
1998-06-15,3.04,3.04,3.04,3.04
1998-06-16,2.87,2.87,2.87,2.87
1998-06-17,3.1,3.1,3.1,3.1
1998-06-18,3.34,3.34,3.34,3.34
1998-06-19,3.04,3.04,3.04,3.04
1998-06-22,2.98,2.98,2.98,2.98
1998-06-23,3.1,3.1,3.1,3.1
1998-06-24,3.1,3.1,3.1,3.1
1998-06-25,3.16,3.16,3.16,3.16
1998-06-26,3.1,3.1,3.1,3.1
1998-06-29,3.04,3.04,3.04,3.04
1998-06-30,2.98,2.98,2.98,2.98
1998-07-01,3.16,3.16,3.16,3.16
1998-07-02,3.16,3.16,3.16,3.16
1998-07-03,3.1,3.1,3.1,3.1
1998-07-06,3.28,3.28,3.28,3.28
1998-07-07,3.28,3.28,3.28,3.28
1998-07-08,3.22,3.22,3.22,3.22
1998-07-09,3.1,3.1,3.1,3.1
1998-07-10,3.1,3.1,3.1,3.1
1998-07-13,2.92,2.92,2.92,2.92
1998-07-14,3.16,3.16,3.16,3.16
1998-07-15,3.16,3.16,3.16,3.16
1998-07-16,3.1,3.1,3.1,3.1
1998-07-17,3.16,3.16,3.16,3.16
1998-07-20,3.1,3.1,3.1,3.1
1998-07-21,3.04,3.04,3.04,3.04
1998-07-22,2.92,2.92,2.92,2.92
1998-07-23,2.87,2.87,2.87,2.87
1998-07-24,2.87,2.87,2.87,2.87
1998-07-27,2.87,2.87,2.87,2.87
1998-07-28,2.92,2.92,2.92,2.92
1998-07-29,2.7,2.7,2.7,2.7
1998-07-30,2.7,2.7,2.7,2.7
1998-07-31,2.75,2.75,2.75,2.75
1998-08-03,2.47,2.47,2.47,2.47
1998-08-04,2.63,2.63,2.63,2.63
1998-08-05,2.51,2.51,2.51,2.51
1998-08-06,2.57,2.57,2.57,2.57
1998-08-07,2.51,2.51,2.51,2.51
1998-08-10,2.51,2.51,2.51,2.51
1998-08-11,2.5,2.5,2.5,2.5
1998-08-12,2.39,2.39,2.39,2.39
1998-08-13,2.44,2.44,2.44,2.44
1998-08-14,2.39,2.39,2.39,2.39
1998-08-17,2.39,2.39,2.39,2.39
1998-08-18,2.42,2.42,2.42,2.42
1998-08-19,2.42,2.42,2.42,2.42
1998-08-20,2.42,2.42,2.42,2.42
1998-08-21,2.39,2.39,2.39,2.39
1998-08-24,2.27,2.27,2.27,2.27
1998-08-25,2.39,2.39,2.39,2.39
1998-08-26,2.34,2.34,2.34,2.34
1998-08-27,2.11,2.11,2.11,2.11
1998-08-28,1.91,1.91,1.91,1.91
1998-08-31,1.79,1.79,1.79,1.79
1998-09-01,1.79,1.79,1.79,1.79
1998-09-02,1.92,1.92,1.92,1.92
1998-09-03,1.85,1.85,1.85,1.85
1998-09-04,1.79,1.79,1.79,1.79
1998-09-07,1.81,1.81,1.81,1.81
1998-09-08,1.85,1.85,1.85,1.85
1998-09-09,1.99,1.99,1.99,1.99
1998-09-10,1.89,1.89,1.89,1.89
1998-09-11,1.81,1.81,1.81,1.81
1998-09-14,1.89,1.89,1.89,1.89
1998-09-15,1.91,1.91,1.91,1.91
1998-09-16,1.98,1.98,1.98,1.98
1998-09-17,1.98,1.98,1.98,1.98
1998-09-18,1.98,1.98,1.98,1.98
1998-09-21,1.99,1.99,1.99,1.99
1998-09-22,2.03,2.03,2.03,2.03
1998-09-23,2.08,2.08,2.08,2.08
1998-09-24,2.16,2.16,2.16,2.16
1998-09-25,2.12,2.12,2.12,2.12
1998-09-28,2.12,2.12,2.12,2.12
1998-09-29,2.05,2.05,2.05,2.05
1998-09-30,2.04,2.04,2.04,2.04
1998-10-01,1.99,1.99,1.99,1.99
1998-10-02,1.85,1.85,1.85,1.85
1998-10-05,1.92,1.92,1.92,1.92
1998-10-06,1.99,1.99,1.99,1.99
1998-10-07,2.05,2.05,2.05,2.05
1998-10-08,2.01,2.01,2.01,2.01
1998-10-09,1.97,1.97,1.97,1.97
1998-10-12,2.03,2.03,2.03,2.03
1998-10-13,2.05,2.05,2.05,2.05
1998-10-14,2.03,2.03,2.03,2.03
1998-10-15,2.03,2.03,2.03,2.03
1998-10-16,2.15,2.15,2.15,2.15
1998-10-19,2.04,2.04,2.04,2.04
1998-10-20,2.09,2.09,2.09,2.09
1998-10-21,2.09,2.09,2.09,2.09
1998-10-22,2.15,2.15,2.15,2.15
1998-10-23,2.26,2.26,2.26,2.26
1998-10-26,2.29,2.29,2.29,2.29
1998-10-27,2.33,2.33,2.33,2.33
1998-10-28,2.21,2.21,2.21,2.21
1998-10-29,2.21,2.21,2.21,2.21
1998-10-30,2.3,2.3,2.3,2.3
1998-11-02,2.33,2.33,2.33,2.33
1998-11-03,2.36,2.36,2.36,2.36
1998-11-04,2.27,2.27,2.27,2.27
1998-11-05,2.3,2.3,2.3,2.3
1998-11-06,2.39,2.39,2.39,2.39
1998-11-09,2.41,2.41,2.41,2.41
1998-11-10,2.39,2.39,2.39,2.39
1998-11-12,2.39,2.39,2.39,2.39
1998-11-13,2.39,2.39,2.39,2.39
1998-11-16,2.63,2.63,2.63,2.63
1998-11-17,2.63,2.63,2.63,2.63
1998-11-18,2.51,2.51,2.51,2.51
1998-11-19,2.39,2.39,2.39,2.39
1998-11-20,2.36,2.36,2.36,2.36
1998-11-23,2.39,2.39,2.39,2.39
1998-11-24,2.45,2.45,2.45,2.45
1998-11-25,2.51,2.51,2.51,2.51
1998-11-26,2.73,2.73,2.73,2.73
1998-11-27,2.53,2.53,2.53,2.53
1998-11-30,2.75,2.75,2.75,2.75
1998-12-01,2.63,2.63,2.63,2.63
1998-12-02,2.63,2.63,2.63,2.63
1998-12-03,2.61,2.61,2.61,2.61
1998-12-04,2.51,2.51,2.51,2.51
1998-12-07,2.63,2.63,2.63,2.63
1998-12-08,2.57,2.57,2.57,2.57
1998-12-09,2.54,2.54,2.54,2.54
1998-12-10,2.55,2.55,2.55,2.55
1998-12-11,2.55,2.55,2.55,2.55
1998-12-14,2.3,2.3,2.3,2.3
1998-12-15,2.33,2.33,2.33,2.33
1998-12-16,2.45,2.45,2.45,2.45
1998-12-17,2.33,2.33,2.33,2.33
1998-12-18,2.51,2.51,2.51,2.51
1998-12-21,2.51,2.51,2.51,2.51
1998-12-22,2.54,2.54,2.54,2.54
1998-12-23,2.51,2.51,2.51,2.51
1998-12-28,2.63,2.63,2.63,2.63
1998-12-29,2.69,2.69,2.69,2.69
1998-12-30,2.63,2.63,2.63,2.63
1998-12-31,2.69,2.69,2.69,2.69
1999-01-04,2.84,2.84,2.84,2.84
1999-01-05,2.92,2.92,2.92,2.92
1999-01-06,3.16,3.16,3.16,3.16
