<TICKER>,<DATE>,<CLOSE>
WPL,2015-05-07,33.014
WPL,2015-05-08,33.136
WPL,2015-05-11,33.014
WPL,2015-05-12,32.919
WPL,2015-05-13,32.353
WPL,2015-05-14,32.872
WPL,2015-05-15,33.201
WPL,2015-05-18,32.844
WPL,2015-05-19,32.825
WPL,2015-05-20,32.825
WPL,2015-05-21,33.022
WPL,2015-05-22,32.844
WPL,2015-05-25,33.372
WPL,2015-05-26,32.872
WPL,2015-05-27,32.778
WPL,2015-05-28,32.778
WPL,2015-05-29,32.825
WPL,2015-06-01,32.778
WPL,2015-06-02,32.778
WPL,2015-06-03,32.711
WPL,2015-06-05,32.636
WPL,2015-06-08,32.825
WPL,2015-06-09,32.636
WPL,2015-06-10,32.599
WPL,2015-06-11,32.589
WPL,2015-06-12,32.589
WPL,2015-06-15,32.636
WPL,2015-06-16,32.778
WPL,2015-06-17,32.731
WPL,2015-06-18,32.806
WPL,2015-06-19,32.522
WPL,2015-06-22,32.636
WPL,2015-06-23,32.636
WPL,2015-06-24,32.797
WPL,2015-06-25,32.731
WPL,2015-06-26,32.617
WPL,2015-06-29,31.787
WPL,2015-06-30,31.759
WPL,2015-07-01,32.881
WPL,2015-07-02,32.872
WPL,2015-07-03,32.542
WPL,2015-07-06,32.919
WPL,2015-07-07,32.542
WPL,2015-07-08,32.542
WPL,2015-07-09,32.542
WPL,2015-07-10,32.542
WPL,2015-07-13,32.335
WPL,2015-07-14,32.306
WPL,2015-07-15,32.636
WPL,2015-07-16,33.674
WPL,2015-07-17,34.542
WPL,2015-07-20,34.428
WPL,2015-07-21,34.787
WPL,2015-07-22,34.806
WPL,2015-07-23,34.617
WPL,2015-07-24,34.9
WPL,2015-07-27,34.72
WPL,2015-07-28,34.9
WPL,2015-07-29,34.881
WPL,2015-07-30,34.9
WPL,2015-07-31,35.466
WPL,2015-08-03,35.842
WPL,2015-08-04,34.9
WPL,2015-08-05,35.419
WPL,2015-08-06,35.325
WPL,2015-08-07,35.042
WPL,2015-08-10,34.9
WPL,2015-08-11,34.9
WPL,2015-08-12,34.768
WPL,2015-08-13,34.9
WPL,2015-08-14,34.768
WPL,2015-08-17,34.853
WPL,2015-08-18,34.995
WPL,2015-08-19,34.947
WPL,2015-08-20,34.947
WPL,2015-08-21,34.947
WPL,2015-08-24,33.957
WPL,2015-08-25,34.428
WPL,2015-08-26,34.428
WPL,2015-08-27,34.617
WPL,2015-08-28,35.466
WPL,2015-08-31,35.466
WPL,2015-09-01,35.654
WPL,2015-09-02,35.466
WPL,2015-09-03,36.88
WPL,2015-09-04,37.061
WPL,2015-09-07,36.598
WPL,2015-09-08,35.654
WPL,2015-09-09,35.842
WPL,2015-09-10,36.315
WPL,2015-09-11,35.701
WPL,2015-09-14,35.654
WPL,2015-09-15,35.249
WPL,2015-09-16,35.748
WPL,2015-09-17,34.617
WPL,2015-09-18,35.116
WPL,2015-09-21,35.654
WPL,2015-09-22,35.891
WPL,2015-09-23,36.032
WPL,2015-09-24,36.551
WPL,2015-09-25,36.994
WPL,2015-09-28,36.787
WPL,2015-09-29,36.787
WPL,2015-09-30,37.258
WPL,2015-10-01,37.258
WPL,2015-10-02,37.258
WPL,2015-10-05,37.258
WPL,2015-10-06,37.484
WPL,2015-10-07,37.484
WPL,2015-10-08,37.484
WPL,2015-10-09,37.616
WPL,2015-10-12,37.541
WPL,2015-10-13,37.24
WPL,2015-10-14,37.116
WPL,2015-10-15,37.249
WPL,2015-10-16,37.447
WPL,2015-10-19,37.324
WPL,2015-10-20,37.4
WPL,2015-10-21,37.4
WPL,2015-10-22,37.4
WPL,2015-10-23,37.532
WPL,2015-10-26,38.107
WPL,2015-10-27,38.342
WPL,2015-10-28,38.522
WPL,2015-10-29,38.541
WPL,2015-10-30,38.485
WPL,2015-11-02,38.485
WPL,2015-11-03,38.795
WPL,2015-11-04,38.701
WPL,2015-11-05,38.842
WPL,2015-11-06,38.673
WPL,2015-11-09,38.579
WPL,2015-11-10,38.295
WPL,2015-11-12,38.485
WPL,2015-11-13,38.389
WPL,2015-11-16,37.636
WPL,2015-11-17,37.636
WPL,2015-11-18,37.636
WPL,2015-11-19,37.636
WPL,2015-11-20,37.673
WPL,2015-11-23,37.636
WPL,2015-11-24,37.636
WPL,2015-11-25,37.636
WPL,2015-11-26,37.646
WPL,2015-11-27,37.636
WPL,2015-11-30,37.636
WPL,2015-12-01,37.484
WPL,2015-12-02,37.532
WPL,2015-12-03,37.589
WPL,2015-12-04,37.069
WPL,2015-12-07,37.353
WPL,2015-12-08,37.031
WPL,2015-12-09,36.88
WPL,2015-12-10,36.183
WPL,2015-12-11,33.984
WPL,2015-12-14,33.014
WPL,2015-12-15,34.108
WPL,2015-12-16,34.9
WPL,2015-12-17,35.842
WPL,2015-12-18,36.201
WPL,2015-12-21,36.409
WPL,2015-12-22,36.692
WPL,2015-12-23,37.258
WPL,2015-12-28,37.73
WPL,2015-12-29,36.89
WPL,2015-12-30,37.636
WPL,2016-01-04,36.787
WPL,2016-01-05,36.984
WPL,2016-01-07,36.787
WPL,2016-01-08,36.777
WPL,2016-01-11,36.136
WPL,2016-01-12,36.315
WPL,2016-01-13,36.409
WPL,2016-01-14,35.842
WPL,2016-01-15,35.985
WPL,2016-01-18,35.419
WPL,2016-01-19,35.089
WPL,2016-01-20,35.372
WPL,2016-01-21,33.957
WPL,2016-01-22,33.58
WPL,2016-01-25,34.9
WPL,2016-01-26,34.42
WPL,2016-01-27,34.306
WPL,2016-01-28,36.126
WPL,2016-01-29,36.551
WPL,2016-02-01,36.268
WPL,2016-02-02,36.108
WPL,2016-02-03,36.315
WPL,2016-02-04,36.504
WPL,2016-02-05,36.645
WPL,2016-02-08,36.787
WPL,2016-02-09,36.136
WPL,2016-02-10,36.325
WPL,2016-02-11,36.315
WPL,2016-02-12,36.4
WPL,2016-02-15,36.315
WPL,2016-02-16,36.221
WPL,2016-02-17,36.221
WPL,2016-02-18,36.032
WPL,2016-02-19,36.588
WPL,2016-02-22,36.692
