<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2012-04-26,5.8464,7.7953,5.8464,7.6978
2012-04-27,7.2106,7.7368,7.1619,7.1619
2012-04-30,7.5827,7.5827,7.0772,7.0772
2012-05-02,7.4932,7.5516,6.8209,7.2496
2012-05-04,7.3081,7.3081,6.9281,7.2496
2012-05-07,7.2106,7.2886,7.0158,7.2886
2012-05-08,7.2886,7.2886,7.2886,7.2886
2012-05-09,7.2106,7.2106,6.9183,6.9183
2012-05-10,7.0158,7.0158,6.5773,6.8209
2012-05-11,6.8209,6.8209,6.4798,6.8111
2012-05-14,6.8111,6.8111,5.8952,6.2362
2012-05-15,6.1777,6.1875,5.7393,6.1875
2012-05-16,6.1875,6.1875,6.1875,6.1875
2012-05-17,6.1875,6.1875,5.8952,5.8952
2012-05-18,5.8952,5.8952,5.8464,5.8464
2012-05-21,5.8952,5.8952,5.8952,5.8952
2012-05-22,5.8952,5.8952,5.8952,5.8952
2012-05-23,6.129,6.8209,6.129,6.6844
2012-05-24,6.8209,7.3081,6.3434,7.3081
2012-05-25,7.3958,7.3958,6.9378,7.2593
2012-05-28,7.3081,7.3081,6.5773,6.8209
2012-05-29,6.8209,6.8209,6.3336,6.8209
2012-05-30,6.8209,6.8209,5.8952,5.8952
2012-05-31,5.8977,6.3338,5.858,6.0365
2012-06-01,6.3142,6.3142,5.8464,5.9439
2012-06-04,5.9439,5.9439,5.6516,5.8464
2012-06-05,5.8464,5.8464,5.4567,5.8075
2012-06-06,5.8367,5.8464,5.5541,5.8464
2012-06-08,5.8464,5.8464,5.5541,5.8464
2012-06-11,5.8464,5.8464,5.6028,5.8464
2012-06-12,5.8464,5.8464,5.3495,5.8464
2012-06-13,5.8464,5.8464,5.4567,5.788
2012-06-14,5.749,5.8952,5.2813,5.8269
2012-06-15,5.8367,5.8367,5.2813,5.6028
2012-06-18,5.7393,5.8367,5.5541,5.7978
2012-06-19,5.6905,5.7002,5.3593,5.6516
2012-06-20,5.6516,5.6516,4.8721,4.8721
2012-06-21,5.1644,5.749,5.1644,5.749
2012-06-22,5.8367,5.8367,5.3982,5.5541
2012-06-25,5.6028,5.7002,5.5639,5.6028
2012-06-26,5.7002,5.9439,5.4567,5.5541
2012-06-27,6.1095,6.2362,5.8367,6.2362
2012-06-28,6.2362,6.4311,6.0413,6.1875
2012-06-29,6.1851,6.3338,6.0365,6.3338
2012-07-02,6.3336,6.3336,6.0219,6.3336
2012-07-03,6.4311,6.4311,5.9439,6.0901
2012-07-04,6.2557,6.2557,5.8464,5.8464
2012-07-05,5.8464,6.1875,5.8464,6.1388
2012-07-06,6.1583,6.1583,5.866,6.1388
2012-07-09,6.129,6.129,5.8464,5.8952
2012-07-10,6.1193,6.1193,5.5249,5.8269
2012-07-11,5.9342,5.9342,5.632,5.8757
2012-07-12,5.866,5.866,5.749,5.8464
2012-07-13,5.8464,5.8464,5.3593,5.8269
2012-07-16,5.8367,5.8367,5.3593,5.7002
2012-07-17,5.4177,5.6711,5.33,5.4567
2012-07-18,5.2633,5.6003,5.184,5.3624
2012-07-19,5.0962,5.3593,4.9695,5.3593
2012-07-20,5.3397,5.3397,4.9597,4.9597
2012-07-23,5.067,5.3008,4.8623,5.1546
2012-07-24,5.1543,5.1543,5.1543,5.1543
2012-07-25,5.067,5.067,4.7746,4.9695
2012-07-26,4.9695,4.9695,4.9695,4.9695
2012-07-27,4.9695,4.9695,4.8721,4.95
2012-07-30,4.95,4.95,4.7454,4.9012
2012-07-31,4.9164,4.9164,4.6587,4.8767
2012-08-01,4.8623,5.3593,4.4433,5.3593
2012-08-02,5.2131,5.6028,4.9597,5.5737
2012-08-03,5.6028,5.6028,5.0474,5.1156
2012-08-06,5.5541,5.5541,5.1546,5.5346
2012-08-07,5.6028,5.6028,5.4567,5.6028
2012-08-08,5.6028,5.6028,5.4567,5.6028
2012-08-09,5.5931,5.6028,5.5931,5.6028
2012-08-10,5.6028,5.6028,5.6028,5.6028
2012-08-13,5.6028,5.6028,5.6028,5.6028
2012-08-14,5.6028,5.6028,4.8721,4.8721
2012-08-16,5.1936,5.1936,4.8233,4.8721
2012-08-17,5.0474,5.0474,4.3848,4.6771
2012-08-20,5.1059,5.1059,4.3069,4.4628
2012-08-21,4.5115,4.5115,4.112,4.3361
2012-08-22,4.4141,4.4141,4.1413,4.2777
2012-08-23,4.4141,4.4239,4.2095,4.2679
2012-08-24,4.4141,4.4141,4.112,4.3556
2012-08-27,4.3946,4.3946,4.1607,4.3361
2012-08-28,4.3751,4.3751,4.3654,4.3751
2012-08-29,4.3848,4.5797,4.2192,4.5797
2012-08-30,4.3946,4.5992,4.3946,4.5992
2012-08-31,4.8272,4.8272,4.8272,4.8272
2012-09-03,4.8038,4.8038,4.7551,4.7551
2012-09-04,5.0353,5.0353,4.5794,4.7479
2012-09-05,4.7082,4.7082,4.4109,4.5794
2012-09-06,4.401,4.7975,4.3911,4.7281
2012-09-07,4.7281,4.8767,4.4307,4.8767
2012-09-10,5.0085,5.0085,4.7162,4.9695
2012-09-11,4.9695,4.9695,4.8721,4.9695
2012-09-12,4.9695,5.0182,4.8623,5.0182
2012-09-13,5.0182,5.0182,4.9695,4.9988
2012-09-14,4.9957,5.0651,4.7875,5.0651
2012-09-17,5.067,5.067,5.067,5.067
2012-09-18,5.0651,5.2633,4.847,5.2633
2012-09-19,5.3922,5.7391,5.3922,5.6499
2012-09-20,5.7986,5.7986,5.5111,5.7986
2012-09-21,5.7887,5.7887,5.7887,5.7887
2012-09-24,5.8481,5.8481,5.7887,5.7887
2012-09-25,5.7887,5.7887,5.5111,5.749
2012-09-26,5.749,5.749,5.749,5.749
2012-09-27,5.8382,5.8382,5.8382,5.8382
2012-09-28,5.868,5.868,5.868,5.868
2012-10-01,6.1455,6.1455,5.749,5.749
2012-10-02,5.6995,5.749,5.5111,5.749
2012-10-03,5.749,5.749,5.749,5.749
2012-10-04,5.749,5.749,5.749,5.749
2012-10-05,5.9473,5.9473,5.6499,5.749
2012-10-08,5.749,5.749,5.7391,5.7391
2012-10-09,5.749,5.749,5.7193,5.7193
2012-10-10,5.749,5.749,5.3724,5.4021
2012-10-11,5.5409,5.749,5.4417,5.749
2012-10-12,5.8481,5.8481,5.8481,5.8481
2012-10-15,5.8481,5.8481,5.8481,5.8481
2012-10-16,5.8481,5.8481,5.8481,5.8481
2012-10-17,5.749,5.749,5.7193,5.749
2012-10-18,5.8481,5.8481,5.7391,5.7391
2012-10-19,5.749,5.749,5.5508,5.7391
2012-10-22,5.6499,5.6499,5.6003,5.6003
2012-10-23,5.6003,5.6003,5.6003,5.6003
2012-10-24,5.6003,5.6003,5.6003,5.6003
2012-10-25,5.6003,5.6003,5.6003,5.6003
2012-10-26,5.6003,5.7391,5.3525,5.7193
2012-10-29,5.8283,5.8283,5.521,5.749
2012-10-30,5.7391,5.7391,5.4715,5.7391
2012-10-31,5.7391,5.749,5.4715,5.749
2012-11-02,5.8382,5.8481,5.8382,5.8382
2012-11-05,6.1653,6.1653,5.749,5.749
2012-11-06,5.749,5.749,5.749,5.749
2012-11-07,5.749,5.749,5.7292,5.7292
2012-11-08,5.749,5.749,5.5111,5.64
2012-11-09,5.749,5.749,5.5012,5.7391
2012-11-12,5.9473,5.9473,5.6499,5.749
2012-11-13,5.749,5.749,5.4021,5.521
2012-11-14,5.7292,5.7292,5.2633,5.4021
2012-11-15,5.4814,5.4814,5.2336,5.2931
2012-11-16,5.2831,5.2831,4.956,5.0056
2012-11-19,5.0453,5.0453,4.956,4.9957
2012-11-20,5.0056,5.0056,4.8569,4.9461
2012-11-21,4.9461,4.956,4.8173,4.8173
2012-11-22,4.9461,4.9461,4.5199,4.8074
2012-11-23,4.7975,5.2435,4.7875,5.2435
