<TICKER>,<DATE>,<CLOSE>
XTP,2017-09-14,60
XTP,2017-09-15,68.93
XTP,2017-09-18,67.02
XTP,2017-09-19,63.05
XTP,2017-09-20,63.11
XTP,2017-09-21,60.98
XTP,2017-09-22,62.77
XTP,2017-09-25,62.64
XTP,2017-09-26,61
XTP,2017-09-27,65.85
XTP,2017-09-28,66.45
XTP,2017-09-29,63.6
XTP,2017-10-02,63.51
XTP,2017-10-03,65
XTP,2017-10-04,64.5
XTP,2017-10-05,65
XTP,2017-10-06,65.85
XTP,2017-10-09,65.3
XTP,2017-10-10,64
XTP,2017-10-11,65
XTP,2017-10-12,65
XTP,2017-10-13,65.4
XTP,2017-10-16,66.38
XTP,2017-10-17,68.14
XTP,2017-10-18,65.31
XTP,2017-10-19,68
XTP,2017-10-20,66.34
XTP,2017-10-23,65
XTP,2017-10-24,64.89
XTP,2017-10-25,63.9
XTP,2017-10-26,63.9
XTP,2017-10-27,61.25
XTP,2017-10-30,61.25
XTP,2017-10-31,62
XTP,2017-11-02,63
XTP,2017-11-03,62.9
XTP,2017-11-06,62.89
XTP,2017-11-07,61.88
XTP,2017-11-08,61.48
XTP,2017-11-09,59.6
XTP,2017-11-10,57.37
XTP,2017-11-13,60.5
XTP,2017-11-14,60
XTP,2017-11-15,59.99
XTP,2017-11-16,57.5
XTP,2017-11-17,56.8
XTP,2017-11-20,56
XTP,2017-11-21,53
XTP,2017-11-22,53
XTP,2017-11-23,59.99
XTP,2017-11-24,62
XTP,2017-11-27,60
XTP,2017-11-28,61
XTP,2017-11-29,62
XTP,2017-11-30,62
XTP,2017-12-01,61
XTP,2017-12-04,57.57
XTP,2017-12-05,61.23
XTP,2017-12-06,60.85
XTP,2017-12-07,60.85
XTP,2017-12-08,61.23
XTP,2017-12-11,61.23
XTP,2017-12-12,61.23
XTP,2017-12-13,58.3
XTP,2017-12-14,61.3
XTP,2017-12-15,60
XTP,2017-12-18,60
XTP,2017-12-19,61.5
XTP,2017-12-20,64
XTP,2017-12-22,62.8
XTP,2017-12-27,60.15
XTP,2017-12-28,64
XTP,2017-12-29,63.1
XTP,2018-01-03,63
XTP,2018-01-04,63.8
XTP,2018-01-05,66
XTP,2018-01-08,68
XTP,2018-01-09,66
XTP,2018-01-10,64.01
XTP,2018-01-11,65
XTP,2018-01-12,67
XTP,2018-01-15,69
XTP,2018-01-16,68
XTP,2018-01-17,66.65
XTP,2018-01-18,67.4
XTP,2018-01-19,68.1
XTP,2018-01-22,67.95
XTP,2018-01-23,68.8
XTP,2018-01-24,68
XTP,2018-01-25,67
XTP,2018-01-26,68
XTP,2018-01-29,68.8
XTP,2018-01-30,66
XTP,2018-01-31,65.2
XTP,2018-02-01,65.6
XTP,2018-02-02,66.2
XTP,2018-02-05,65
XTP,2018-02-06,62.8
XTP,2018-02-07,62
XTP,2018-02-08,63
XTP,2018-02-09,63.6
XTP,2018-02-12,67
XTP,2018-02-13,71
XTP,2018-02-14,73.4
XTP,2018-02-15,78
XTP,2018-02-16,79
XTP,2018-02-19,80.8
XTP,2018-02-20,81
XTP,2018-02-21,80
XTP,2018-02-22,78.2
XTP,2018-02-23,80
XTP,2018-02-26,80.8
XTP,2018-02-27,79
XTP,2018-02-28,77.2
XTP,2018-03-01,77.8
XTP,2018-03-02,77.8
XTP,2018-03-05,77.4
XTP,2018-03-06,75
XTP,2018-03-07,77.8
XTP,2018-03-08,76
XTP,2018-03-09,77
XTP,2018-03-12,74
XTP,2018-03-13,73
XTP,2018-03-14,76.8
XTP,2018-03-15,72.6
XTP,2018-03-16,76.2
XTP,2018-03-19,77
XTP,2018-03-20,76.4
XTP,2018-03-21,76
XTP,2018-03-22,75.2
XTP,2018-03-23,76.6
XTP,2018-03-26,76.4
XTP,2018-03-27,76.2
XTP,2018-03-28,77
XTP,2018-03-29,76
XTP,2018-04-03,75
XTP,2018-04-04,76
XTP,2018-04-05,76
XTP,2018-04-06,77.8
XTP,2018-04-09,80
XTP,2018-04-10,80.4
XTP,2018-04-11,80
XTP,2018-04-12,79.8
XTP,2018-04-13,80
XTP,2018-04-16,79.4
XTP,2018-04-17,79.4
XTP,2018-04-18,79.6
XTP,2018-04-19,78.2
XTP,2018-04-20,78.2
XTP,2018-04-23,75
XTP,2018-04-24,76
XTP,2018-04-25,72
XTP,2018-04-26,68.2
XTP,2018-04-27,70.4
XTP,2018-04-30,67.8
XTP,2018-05-02,74
XTP,2018-05-04,72.8
XTP,2018-05-07,72.6
XTP,2018-05-08,68
XTP,2018-05-09,69.6
XTP,2018-05-10,68
XTP,2018-05-11,67.2
XTP,2018-05-14,65.8
XTP,2018-05-15,65.8
XTP,2018-05-16,65.8
XTP,2018-05-17,63.4
XTP,2018-05-18,67
XTP,2018-05-21,64.6
XTP,2018-05-22,63.4
XTP,2018-05-23,65.2
XTP,2018-05-24,64.8
XTP,2018-05-25,64.6
XTP,2018-05-28,64.6
XTP,2018-05-29,62
XTP,2018-05-30,63
XTP,2018-06-01,68.8
XTP,2018-06-04,70.2
XTP,2018-06-05,70.2
XTP,2018-06-06,70.2
XTP,2018-06-07,69
XTP,2018-06-08,72
