<TICKER>,<DATE>,<CLOSE>
YOL,2011-07-29,2.9215
YOL,2011-08-01,3.0539
YOL,2011-08-02,2.99
YOL,2011-08-03,2.9488
YOL,2011-08-04,2.7663
YOL,2011-08-05,2.5699
YOL,2011-08-08,2.7389
YOL,2011-08-09,2.6476
YOL,2011-08-10,2.643
YOL,2011-08-11,2.7115
YOL,2011-08-12,2.716
YOL,2011-08-16,2.7069
YOL,2011-08-17,2.7024
YOL,2011-08-18,2.643
YOL,2011-08-19,2.6385
YOL,2011-08-22,2.6887
YOL,2011-08-23,2.6795
YOL,2011-08-25,2.675
YOL,2011-08-26,2.5609
YOL,2011-08-29,2.602
YOL,2011-08-30,2.5563
YOL,2011-08-31,2.6703
YOL,2011-09-01,2.6703
YOL,2011-09-02,2.6248
YOL,2011-09-06,2.602
YOL,2011-09-07,2.6521
YOL,2011-09-08,2.6476
YOL,2011-09-09,2.6476
YOL,2011-09-12,2.6385
YOL,2011-09-13,2.5244
YOL,2011-09-14,2.6248
YOL,2011-09-16,2.506
YOL,2011-09-19,2.4422
YOL,2011-09-20,2.5517
YOL,2011-09-21,2.465
YOL,2011-09-22,2.3144
YOL,2011-09-23,2.3691
YOL,2011-09-26,2.3691
YOL,2011-09-27,2.3691
YOL,2011-09-28,2.36
YOL,2011-09-29,2.36
YOL,2011-09-30,2.3509
YOL,2011-10-03,2.328
YOL,2011-10-04,2.3189
YOL,2011-10-05,2.2824
YOL,2011-10-06,2.3098
YOL,2011-10-07,2.3144
YOL,2011-10-10,2.3144
YOL,2011-10-11,2.3235
YOL,2011-10-12,2.3144
YOL,2011-10-13,2.3144
YOL,2011-10-14,2.3144
YOL,2011-10-17,2.328
YOL,2011-10-18,2.2824
YOL,2011-10-19,2.2824
YOL,2011-10-20,2.2824
YOL,2011-10-21,2.3189
YOL,2011-10-24,2.2322
YOL,2011-10-25,2.3144
YOL,2011-10-26,2.2824
YOL,2011-10-27,2.2368
YOL,2011-10-28,2.2596
YOL,2011-10-31,2.1546
YOL,2011-11-02,2.2322
YOL,2011-11-03,2.2322
YOL,2011-11-04,2.2322
YOL,2011-11-07,2.2322
YOL,2011-11-08,2.2322
YOL,2011-11-09,2.2231
YOL,2011-11-10,2.2184
YOL,2011-11-14,2.2139
YOL,2011-11-15,2.1683
YOL,2011-11-16,2.1683
YOL,2011-11-17,2.1683
YOL,2011-11-18,2.1454
YOL,2011-11-21,2.0313
YOL,2011-11-22,2.0085
YOL,2011-11-23,2.0313
YOL,2011-11-24,2.0085
YOL,2011-11-25,1.9857
YOL,2011-11-28,1.9172
YOL,2011-11-29,1.9172
YOL,2011-11-30,1.9126
YOL,2011-12-01,1.9126
YOL,2011-12-02,1.9172
YOL,2011-12-05,1.9857
YOL,2011-12-06,2.004
YOL,2011-12-07,2.0541
YOL,2011-12-08,2.0541
YOL,2011-12-09,2.0313
YOL,2011-12-12,2.0313
YOL,2011-12-13,2.077
YOL,2011-12-14,2.1363
YOL,2011-12-15,2.1044
YOL,2011-12-16,2.0998
YOL,2011-12-19,2.1089
YOL,2011-12-20,2.2276
YOL,2011-12-21,2.1911
YOL,2011-12-22,2.2139
YOL,2011-12-23,2.1911
YOL,2011-12-27,2.1637
YOL,2011-12-28,2.2276
YOL,2011-12-29,2.2002
YOL,2011-12-30,2.4113
YOL,2012-01-02,2.3509
YOL,2012-01-03,2.4102
YOL,2012-01-04,2.4102
YOL,2012-01-05,2.5106
YOL,2012-01-09,2.4011
YOL,2012-01-10,2.4878
YOL,2012-01-11,2.5334
YOL,2012-01-12,2.5334
YOL,2012-01-13,2.4193
YOL,2012-01-16,2.4193
YOL,2012-01-17,2.4422
YOL,2012-01-18,2.5289
YOL,2012-01-19,2.5289
YOL,2012-01-20,2.5106
YOL,2012-01-23,2.5244
YOL,2012-01-24,2.5197
YOL,2012-01-25,2.5152
YOL,2012-01-26,2.5791
YOL,2012-01-27,2.643
YOL,2012-01-30,2.6338
YOL,2012-01-31,2.6813
YOL,2012-02-01,2.6156
YOL,2012-02-02,2.6933
YOL,2012-02-03,2.7343
YOL,2012-02-06,2.8073
YOL,2012-02-07,2.7845
YOL,2012-02-08,2.78
YOL,2012-02-09,2.8073
YOL,2012-02-10,2.748
YOL,2012-02-13,2.7389
YOL,2012-02-14,2.7343
YOL,2012-02-15,2.8302
YOL,2012-02-16,2.7845
YOL,2012-02-17,2.8028
YOL,2012-02-20,2.7389
YOL,2012-02-21,2.7617
YOL,2012-02-22,2.7617
YOL,2012-02-23,2.8073
YOL,2012-02-24,2.7982
YOL,2012-02-27,2.78
YOL,2012-02-28,2.78
YOL,2012-02-29,2.7791
YOL,2012-03-01,2.7206
YOL,2012-03-02,2.7937
YOL,2012-03-05,2.8073
YOL,2012-03-06,2.853
YOL,2012-03-07,2.8621
YOL,2012-03-08,2.8712
YOL,2012-03-09,2.9671
YOL,2012-03-12,2.9443
YOL,2012-03-13,2.853
YOL,2012-03-14,3.4235
YOL,2012-03-15,4.3274
YOL,2012-03-16,3.7523
YOL,2012-03-19,3.8116
YOL,2012-03-20,3.6975
YOL,2012-03-21,3.6975
YOL,2012-03-22,3.6518
YOL,2012-03-23,3.6518
YOL,2012-03-26,3.7523
YOL,2012-03-27,3.6518
YOL,2012-03-28,3.7386
YOL,2012-03-29,3.734
YOL,2012-03-30,3.7427
YOL,2012-04-02,3.734
YOL,2012-04-03,3.661
YOL,2012-04-04,3.7294
YOL,2012-04-05,3.6975
YOL,2012-04-10,3.6975
YOL,2012-04-11,3.734
YOL,2012-04-12,3.661
YOL,2012-04-13,3.6792
YOL,2012-04-16,3.6792
YOL,2012-04-17,3.6518
YOL,2012-04-18,3.6838
YOL,2012-04-19,3.6929
YOL,2012-04-20,3.7294
YOL,2012-04-23,3.7021
YOL,2012-04-24,3.7203
YOL,2012-04-25,3.7294
YOL,2012-04-26,3.6062
YOL,2012-04-27,3.7203
YOL,2012-04-30,3.7241
YOL,2012-05-02,3.7203
YOL,2012-05-04,3.7157
YOL,2012-05-07,3.7157
YOL,2012-05-08,3.6975
YOL,2012-05-09,3.6975
YOL,2012-05-10,3.7203
YOL,2012-05-11,3.7568
YOL,2012-05-14,4.0718
YOL,2012-05-15,4.1083
YOL,2012-05-16,4.1037
YOL,2012-05-17,4.1037
YOL,2012-05-18,4.0855
YOL,2012-05-21,4.0855
YOL,2012-05-22,4.0992
YOL,2012-05-23,4.0353
YOL,2012-05-24,4.0398
YOL,2012-05-25,4.0398
YOL,2012-05-28,3.9714
YOL,2012-05-29,3.9668
YOL,2012-05-30,3.9668
YOL,2012-05-31,3.8358
YOL,2012-06-01,3.8801
YOL,2012-06-04,3.8801
YOL,2012-06-05,3.8777
YOL,2012-06-06,4.0406
YOL,2012-06-08,4.0406
YOL,2012-06-11,3.9212
YOL,2012-06-12,3.9257
YOL,2012-06-13,3.9257
YOL,2012-06-14,3.9212
YOL,2012-06-15,3.915
YOL,2012-06-18,3.8572
YOL,2012-06-19,3.7892
YOL,2012-06-20,3.8311
YOL,2012-06-21,3.8311
YOL,2012-06-22,3.8264
YOL,2012-06-25,3.7846
YOL,2012-06-26,3.7659
YOL,2012-06-27,3.8591
YOL,2012-06-28,3.8591
YOL,2012-06-29,3.8591
YOL,2012-07-02,3.752
YOL,2012-07-03,3.7474
YOL,2012-07-04,3.7474
YOL,2012-07-05,3.8405
YOL,2012-07-06,3.7706
YOL,2012-07-09,3.8405
YOL,2012-07-10,3.887
YOL,2012-07-11,3.752
YOL,2012-07-12,3.752
YOL,2012-07-13,3.7474
YOL,2012-07-16,3.8358
YOL,2012-07-17,3.8358
YOL,2012-07-18,3.8078
YOL,2012-07-19,3.7938
YOL,2012-07-20,3.752
YOL,2012-07-23,3.7892
YOL,2012-07-24,3.7474
YOL,2012-07-25,3.7659
YOL,2012-07-26,3.7474
YOL,2012-07-27,3.7474
YOL,2012-07-30,3.7985
YOL,2012-07-31,3.8032
YOL,2012-08-01,3.7706
YOL,2012-08-02,3.752
YOL,2012-08-03,3.8032
YOL,2012-08-06,3.7985
YOL,2012-08-07,3.7287
YOL,2012-08-08,3.8032
YOL,2012-08-09,3.8032
YOL,2012-08-10,3.8032
YOL,2012-08-13,3.7892
YOL,2012-08-14,3.7892
YOL,2012-08-16,3.738
YOL,2012-08-17,3.7333
YOL,2012-08-20,3.7241
YOL,2012-08-21,3.7241
YOL,2012-08-22,3.7846
YOL,2012-08-23,3.7241
YOL,2012-08-24,3.7706
YOL,2012-08-27,3.7008
YOL,2012-08-28,3.7706
YOL,2012-08-29,3.8311
YOL,2012-08-30,3.8311
YOL,2012-08-31,3.7474
YOL,2012-09-03,3.7938
YOL,2012-09-04,3.7892
YOL,2012-09-05,3.7892
YOL,2012-09-06,3.7892
YOL,2012-09-07,3.7287
YOL,2012-09-10,3.7706
YOL,2012-09-11,3.7333
YOL,2012-09-12,3.6775
