<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2012-10-30,19.322,19.387,19.1,19.1
2012-10-31,19.1,19.189,18.952,18.952
2012-11-02,18.952,18.952,18.657,18.731
2012-11-05,18.657,18.716,18.657,18.657
2012-11-06,18.657,18.908,18.657,18.857
2012-11-07,18.938,19.019,18.864,18.864
2012-11-08,18.864,18.915,18.857,18.915
2012-11-09,18.915,18.93,18.827,18.879
2012-11-12,18.879,18.923,18.842,18.842
2012-11-13,18.842,18.915,18.842,18.894
2012-11-14,18.952,19.071,18.952,19.056
2012-11-15,19.086,19.173,19.027,19.064
2012-11-16,19.093,19.225,19.093,19.189
2012-11-19,19.173,19.225,19.064,19.136
2012-11-20,19.1,19.122,18.952,18.967
2012-11-21,18.915,18.945,18.879,18.886
2012-11-22,18.879,19.381,18.813,19.365
2012-11-23,19.322,19.44,19.225,19.395
2012-11-26,19.395,19.49,19.395,19.483
2012-11-27,19.483,19.483,19.328,19.447
2012-11-28,19.395,19.395,19.277,19.306
2012-11-29,19.344,19.468,19.299,19.447
2012-11-30,19.468,19.468,19.402,19.44
2012-12-03,19.44,19.44,19.322,19.373
2012-12-04,19.336,19.395,19.336,19.395
2012-12-05,19.344,19.41,19.336,19.351
2012-12-06,19.344,19.381,19.336,19.358
2012-12-07,19.381,19.41,19.336,19.41
2012-12-10,19.424,19.461,19.358,19.395
2012-12-11,19.358,19.41,19.344,19.395
2012-12-12,19.351,19.453,19.285,19.395
2012-12-13,19.431,20.243,19.431,20.096
2012-12-14,20.059,20.715,19.926,20.663
2012-12-17,20.685,20.832,20.205,20.456
2012-12-18,20.427,20.649,20.354,20.501
2012-12-19,20.575,20.759,20.318,20.7
2012-12-20,20.546,20.634,20.479,20.501
2012-12-21,20.427,20.427,20.213,20.28
2012-12-27,20.176,20.878,20.176,20.878
2012-12-28,20.878,20.98,20.546,20.98
2013-01-02,21.003,21.129,20.957,21.017
2013-01-03,21.017,21.276,21.003,21.276
2013-01-04,21.165,22.086,21.165,21.865
2013-01-07,21.755,22.293,21.703,22.234
2013-01-08,22.234,22.971,22.123,22.418
2013-01-09,22.507,23.304,22.507,23.304
2013-01-10,23.599,24.107,22.986,23.229
2013-01-11,23.245,23.569,22.507,22.832
2013-01-14,22.574,23.083,22.574,22.868
2013-01-15,22.861,22.861,22.559,22.559
2013-01-16,22.271,22.706,22.226,22.492
2013-01-17,22.492,22.861,22.455,22.655
2013-01-18,22.721,23.185,22.655,23.009
2013-01-21,22.971,23.156,22.861,23.046
2013-01-22,22.957,23.156,22.53,22.53
2013-01-23,22.462,22.788,22.234,22.537
2013-01-24,22.566,22.706,22.418,22.625
2013-01-25,22.492,22.596,22.345,22.345
2013-01-28,22.241,22.411,21.534,21.534
2013-01-29,21.312,21.6,21.106,21.571
2013-01-30,21.386,21.939,21.386,21.792
2013-01-31,21.829,22.271,21.615,22.264
2013-02-01,22.241,22.264,22.013,22.123
2013-02-04,22.123,22.123,21.129,21.902
2013-02-05,21.534,21.902,21.459,21.755
2013-02-06,21.755,21.888,21.607,21.814
2013-02-07,21.732,22.123,21.541,21.541
2013-02-08,21.785,22.05,21.607,22.043
2013-02-11,21.799,21.91,21.799,21.865
2013-02-12,21.968,21.968,21.681,21.747
2013-02-13,21.607,21.607,21.091,21.091
