<DATE>,<CLOSE>
2007-08-03,35.981
2007-08-06,33.566
2007-08-07,35.897
2007-08-08,34.228
2007-08-09,33.1
2007-08-10,32.167
2007-08-13,33.538
2007-08-14,33.659
2007-08-16,32.624
2007-08-17,33.081
2007-08-20,33.547
2007-08-21,33.212
2007-08-22,35.869
2007-08-23,35.524
2007-08-24,36.27
2007-08-27,35.431
2007-08-28,34.498
2007-08-29,35.431
2007-08-30,36.335
2007-08-31,36.354
2007-09-03,36.55
2007-09-04,39.16
2007-09-05,39.3
2007-09-06,39.16
2007-09-07,37.398
2007-09-10,37.389
2007-09-11,39.067
2007-09-12,39.067
2007-09-14,39.067
2007-09-17,39.02
2007-09-18,39.02
2007-09-19,39.151
2007-09-24,39.114
2007-09-25,38.694
2007-09-27,38.135
2007-09-28,38.228
2007-10-01,37.762
2007-10-02,37.668
2007-10-03,37.295
2007-10-04,37.295
2007-10-05,37.295
2007-10-09,38.228
2007-10-10,39.16
2007-10-11,39.16
2007-10-12,40.074
2007-10-15,39.254
2007-10-16,40.046
2007-10-18,39.813
2007-10-19,39.813
2007-10-22,40.559
2007-10-23,41.957
2007-10-24,45.221
2007-10-25,42.89
2007-10-26,43.636
2007-10-29,43.654
2007-10-30,42.89
2007-10-31,45.687
2007-11-02,45.678
2007-11-05,45.221
2007-11-06,45.678
2007-11-07,43.822
2007-11-08,44.755
2007-11-09,44.755
2007-11-12,47.225
2007-11-13,45.78
2007-11-14,42.051
2007-11-15,44.382
2007-11-16,43.822
2007-11-19,41.491
2007-11-20,41.025
2007-11-21,39.999
2007-11-22,41.864
2007-11-23,42.778
2007-11-27,43.822
2007-11-28,45.034
2007-11-29,43.636
2007-11-30,43.822
2007-12-03,43.692
2007-12-04,44.475
2007-12-05,44.466
2007-12-06,42.051
2007-12-07,43.813
2007-12-10,42.89
2007-12-11,43.44
2007-12-12,43.356
2007-12-13,43.822
2007-12-17,45.212
2007-12-18,45.687
2007-12-19,46.619
2007-12-20,47.925
2007-12-21,48.484
2007-12-27,48.437
2007-12-28,48.251
2008-01-02,46.172
2008-01-03,46.992
2008-01-04,43.822
2008-01-07,43.356
2008-01-08,41.09
2008-01-09,40.093
2008-01-10,39.897
2008-01-11,39.44
2008-01-14,39.533
2008-01-15,38.228
2008-01-16,37.295
2008-01-17,38.694
2008-01-18,37.202
2008-01-21,35.664
2008-01-22,37.202
2008-01-23,35.804
2008-01-24,39.16
2008-01-25,38.218
2008-01-29,40.652
2008-01-30,39.971
2008-01-31,35.99
2008-02-01,39.347
2008-02-04,39.393
2008-02-05,39.3
2008-02-06,39.254
2008-02-14,35.99
2008-02-15,37.202
2008-02-18,39.067
2008-02-19,39.067
2008-02-21,39.142
2008-02-25,39.151
2008-02-26,38.181
2008-02-27,38.414
2008-02-28,38.694
2008-02-29,38.694
2008-03-03,38.601
2008-03-04,38.554
2008-03-07,38.228
2008-03-11,38.414
2008-03-13,38.228
2008-03-14,38.135
2008-03-18,38.135
2008-03-19,37.948
2008-03-20,37.295
2008-03-27,37.295
2008-03-31,37.202
