<DATE>,<CLOSE>
2008-05-06,60.8
2008-05-07,50.4
2008-05-08,48.8
2008-05-09,39.2
2008-05-13,60
2008-05-14,56.8
2008-05-15,55.2
2008-05-16,56
2008-05-19,55.2
2008-05-20,56
2008-05-21,56
2008-05-23,53.6
2008-05-26,53.6
2008-05-27,53.6
2008-05-28,52.8
2008-05-29,53.6
2008-05-30,53.6
2008-06-02,53.6
2008-06-03,53.6
2008-06-04,54.4
2008-06-05,55.2
2008-06-06,54.4
2008-06-10,54.4
2008-06-12,54.4
2008-06-13,54.4
2008-06-16,54.4
2008-06-17,54.4
2008-06-18,54.4
2008-06-19,54.4
2008-06-20,54.4
2008-06-23,54.4
2008-06-24,54.4
2008-06-25,54.4
2008-06-27,54.4
2008-07-01,54.4
2008-07-03,54.4
2008-07-07,54.4
2008-07-08,54.4
2008-07-10,54.4
2008-07-16,54.4
2008-07-17,54.4
2008-07-18,53.6
2008-07-21,51.2
2008-07-22,44
2008-07-23,44.8
2008-07-24,44.8
2008-07-25,43.2
2008-07-28,45.6
2008-07-29,48
2008-07-30,40
2008-07-31,44.8
2008-08-01,41.6
2008-08-05,46.4
2008-08-07,47.2
2008-08-08,46.4
2008-08-11,43.2
2008-08-12,43.2
2008-08-13,38.4
2008-08-14,40
2008-08-18,42.4
2008-08-20,47.2
2008-08-21,43.2
2008-08-22,44.8
2008-08-26,41.6
2008-08-27,36
2008-08-28,39.2
2008-09-01,36
2008-09-02,39.2
2008-09-03,39.2
2008-09-04,40.8
2008-09-05,35.2
2008-09-08,39.2
2008-09-10,36.8
2008-09-11,40
2008-09-12,40
2008-09-15,36
2008-09-18,35.2
2008-09-19,40
2008-09-22,40
2008-09-24,40.8
2008-09-26,40.8
2008-09-29,40.8
2008-09-30,35.2
2008-10-02,39.2
2008-10-03,39.2
2008-10-06,37.6
2008-10-07,38.4
2008-10-08,36
2008-10-09,38.4
2008-10-10,38.4
2008-10-15,37.6
2008-10-16,37.6
2008-10-17,37.6
2008-10-20,38.4
2008-10-21,38.4
2008-10-22,37.6
2008-10-23,37.6
2008-10-24,36.8
2008-10-27,37.6
2008-10-28,37.6
2008-10-29,36.8
2008-10-30,36.8
2008-10-31,36.8
2008-11-03,36.8
2008-11-04,36.8
2008-11-05,36.8
2008-11-10,36.8
2008-11-14,36.8
2008-11-17,36.8
2008-11-18,36.8
2008-11-20,36.8
2008-11-21,36.8
2008-11-24,34.4
2008-11-25,36
2008-11-26,32
2008-11-27,34.4
2008-11-28,36
2008-12-01,31.2
2008-12-02,32
2008-12-03,32
2008-12-04,34.4
2008-12-05,30.4
2008-12-09,30.4
2008-12-10,32
2008-12-11,32
2008-12-15,32.8
2008-12-17,32.8
2008-12-22,29.6
2008-12-23,30.4
2008-12-31,33.6
2009-01-06,30.4
2009-01-07,33.6
2009-01-08,33.6
2009-01-12,34.4
2009-01-13,36
2009-01-14,35.2
2009-01-15,35.2
2009-01-16,40.8
2009-01-19,40.8
2009-01-20,44
2009-01-21,44
2009-01-22,44
2009-01-23,40.8
2009-01-26,43.2
2009-01-27,39.2
2009-01-28,36
2009-01-29,36
2009-01-30,35.2
2009-02-02,28.8
2009-02-03,28
2009-02-04,24.8
2009-02-05,28
2009-02-06,31.2
2009-02-09,30.4
2009-02-11,30.4
2009-02-12,31.2
2009-02-13,30.4
2009-02-16,30.4
2009-02-18,26.4
2009-02-19,30.4
2009-02-20,31.2
2009-02-23,28.8
2009-02-24,25.6
2009-02-25,26.4
2009-02-26,24
2009-02-27,26.4
2009-03-02,25.6
2009-03-03,23.2
2009-03-04,27.2
2009-03-05,27.2
2009-03-06,29.6
2009-03-09,28.8
2009-03-10,28
2009-03-11,28
2009-03-12,26.4
2009-03-13,27.2
2009-03-16,28
2009-03-17,27.2
2009-03-18,29.6
2009-03-19,26.4
2009-03-20,27.2
2009-03-23,27.2
2009-03-24,28
2009-03-25,31.2
2009-03-26,28.8
2009-03-27,30.4
2009-03-30,32
2009-03-31,33.6
2009-04-01,32.8
2009-04-02,32.8
2009-04-03,32.8
2009-04-06,31.2
2009-04-07,28
2009-04-08,30.4
2009-04-09,28.8
2009-04-14,31.2
2009-04-15,32
2009-04-16,31.2
2009-04-17,32
2009-04-20,30.4
2009-04-21,31.2
2009-04-22,31.2
2009-04-23,31.2
2009-04-24,31.2
2009-04-27,32
2009-04-28,32
2009-04-29,33.6
2009-04-30,32.8
2009-05-04,32
2009-05-05,31.2
2009-05-06,32
2009-05-07,32
2009-05-08,32
2009-05-11,32
2009-05-12,30.4
2009-05-13,31.2
2009-05-14,29.6
2009-05-15,30.4
2009-05-18,30.4
2009-05-19,31.2
2009-05-20,30.4
2009-05-21,29.6
2009-05-22,28
2009-05-25,27.2
2009-05-26,27.2
2009-05-27,28.8
2009-05-28,28.8
2009-05-29,28
2009-06-01,26.4
2009-06-02,28
2009-06-03,28
2009-06-04,27.2
2009-06-05,25.6
2009-06-08,26.4
2009-06-09,26.4
2009-06-10,28
2009-06-12,28.8
2009-06-15,28
2009-06-16,27.2
2009-06-17,26.4
2009-06-18,26.4
2009-06-19,26.4
2009-06-22,24.8
2009-06-23,25.6
2009-06-24,25.6
2009-06-25,23.2
2009-06-26,24
2009-06-29,28
2009-06-30,24.8
2009-07-01,24.8
2009-07-02,27.2
2009-07-03,26.4
2009-07-06,28
2009-07-07,28
2009-07-08,26.4
2009-07-09,26.4
2009-07-10,26.4
2009-07-13,28
2009-07-14,28
2009-07-15,28.8
2009-07-16,32
2009-07-17,32
2009-07-20,33.6
2009-07-21,40
2009-07-22,36.8
2009-07-23,40
2009-07-24,40.8
2009-07-27,39.2
2009-07-28,40
2009-07-29,40.8
2009-07-30,38.4
2009-07-31,37.6
2009-08-03,38.4
2009-08-04,39.2
2009-08-05,42.4
2009-08-06,41.6
